company_name,valuation,country,industry,ipo_status,data_source,estimated_ipo_score,readiness_tier
Shouqi,3.55,December 2016[160],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Coalition,3.5,September 2021[202],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Commure,3.5,September 2021[203],Health technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Digit Insurance,3.5,July 2021[204],Insurance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mirakl,3.5,September 2021[205],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
N26,3.5,July 2019[206],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
OwnBackup,3.35,August 2021[207],Data storage,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Preferred Networks,3.33,September 2019[208],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
CARS24,3.3,December 2021[209],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Kurly,3.3,July 2021[210],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Rubrik,3.3,January 2019[211],Computer storage,Private Unicorn,Wikipedia,50,Developing (2-3yr)
WeRide,3.3,June 2021[212],Self-driving cars,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Youxia Motors,3.3,October 2018[213],Electric vehicles,Private Unicorn,Wikipedia,50,Developing (2-3yr)
MoonPay,3.4,November 2021[214],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Upstox,3.4,November 2021[215],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Unacademy,3.4,August 2021[216],Educational technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Plus.ai,3.3,May 2021[217],Self-driving trucks,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Starburst Data,3.3,February 2022[218],Data analytics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Thumbtack,3.2,June 2021[220],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ApplyBoard,3.2,June 2021[221],Educational technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Blockstream,3.2,August 2021[222],Blockchain,Private Unicorn,Wikipedia,55,Developing (2-3yr)
ConsenSys,3.2,November 2021[223],Blockchain,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Cybereason,3.2,July 2021[224],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Verkada,3.2,September 2022[225],Physical security,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Eruditus,3.2,August 2021[226],Educational technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
SpotOn,3.15,September 2021[227],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
TiendaNube,3.1,August 2021[228],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
SentinelOne,3.1,November 2020[229],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Udaan,3.1,January 2021[230],B2B e-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Wildlife,3+,August 2020[231],Mobile gaming,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Replit,3,September 2025(2025-09)[232],Artificial Intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
CMR Surgical,3,January 2021[233],Robotics,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Traveloka,3,January 2017[234],Travel,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ActiveCampaign,3,April 2021[235],Marketing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
"Age of Learning, Inc.",3,June 2021[236],Education,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Automattic,3,September 2019[237],Internet,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Calendly,3,January 2021[238],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Contentful,3,July 2021[240],Content management system,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Forter,3,May 2021[241],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Grafana Labs,3,August 2021[242],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Groww,3,April 2021[243],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Hinge Health,3,January 2021[244],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Horizon Robotics,3,February 2018[245],Semiconductors,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Lucid Software,3,June 2021[246],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
MessageBird,3,October 2020[247],Cloud communications,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Seismic,3,August 2021[248],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Sky Mavis,3,October 2021[249],Video games,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Souche,3,September 2018[250],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
TradingView,3,October 2021[251],Finance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Aiven,3,May 2022[252],Data infrastructure,Private Unicorn,Wikipedia,50,Developing (2-3yr)
VANCL,3,February 2014[5],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Veepee,3,August 2022[125],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
VIPKID,3,June 2018[253],Education,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Warby Parker,3,August 2020[254],Retail,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Wefox,3,June 2021[255],Insurance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Yixia Technology,3,November 2016[160],Internet media,Private Unicorn,Wikipedia,50,Developing (2-3yr)
OVO,2.9,March 2019[8],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Workrise,2.9,May 2021[256],Workforce management,Private Unicorn,Wikipedia,50,Developing (2-3yr)
DriveWealth,2.85,August 2021[257],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
BharatPe,2.8,August 2021[258],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Icertis,2.8,March 2021[261],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
OakNorth,2.8,February 2019[262],Finance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
UnionPay,2.8,October 2016[160],Finance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Urban Company,2.8,December 2021[263],Home services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bird,2.78,October 2019[264],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Abridge,2.75,May 2025[265],Healthcare technology and AI,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Convoy,2.75,November 2019[266],Trucking,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Illumio,2.75,June 2021[267],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
MasterClass,2.75,May 2021[268],Educational technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zipline,2.75,June 2021[269],Logistics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Dream Games,2.75,January 2022(2022-01)[270],Gaming,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Daangn Market,2.7,August 2021[271],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Tridge,2.7,August 2022[272],Software as a service,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Nextiva,2.7,September 2021[273],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Tradeshift,2.7,March 2021[274],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Odoo,2.63,July 2021[275],CRM,Private Unicorn,Wikipedia,50,Developing (2-3yr)
AmWINS Group,2.6,October 2016[276],Insurance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ManoMano,2.6,July 2021[277],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Pendo,2.6,July 2021[278],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Sourcegraph,2.6,July 2021[279],Developer platform,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Jumpcloud,2.56,September 2021[280],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cato Networks,2.5,October 2021[281],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
eToro,2.5,December 2020[282],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Infra.Market,2.5,August 2021[283],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
DriveNets,2.5+,August 2022[284],"Network operating system,Software-defined networking, Software as a service",Private Unicorn,Wikipedia,50,Developing (2-3yr)
Lenskart,2.5,May 2021[285],Retail,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Monzo,2.5,June 2019[286],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ualá,2.45,November 2019,Personal finance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
HoneyBook,2.4,November 2021[287],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
BitSight,2.4,September 2021[288],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Exabeam,2.4,June 2021[289],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Paxos,2.4,April 2021[290],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mozido,2.39,October 2014[5],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Wemakeprice,2.33,September 2015[291],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Headway,2.3,July 2024[292],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Highspot,2.3,February 2021[293],Sales,Private Unicorn,Wikipedia,50,Developing (2-3yr)
MPL,2.3,September 2021[294],Mobile gaming,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Uptake,2.3,November 2017[295],Asset performance management,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Algolia,2.25,June 2021[296],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
KeepTruckin,2.25,June 2021[297],Logistics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Via Transportation,2.25,March 2020[298],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zume,2.25,November 2018[299],"Food packaging, Logistics",Private Unicorn,Wikipedia,50,Developing (2-3yr)
Acorns,2.2,May 2021[300],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bitso,2.2,May 2021[301],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Gympass,2.2,June 2021[302],Fitness,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Transmit Security,2.2,June 2021[303],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Addepar,2.17,June 2021[304],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Eightfold.ai,2.1+,June 2021[305],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
PayFit,2.1,January 2022(2022-01)[306],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
6sense,2.1,March 2021[307],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
C6 Bank,2.1,December 2020[308],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mambu,2.1,January 2021[309],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Moveworks,2.1,June 2021[310],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Nextdoor,2.1,May 2019[311],Social network,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Webflow,2.1,January 2021[312],Web development,Private Unicorn,Wikipedia,50,Developing (2-3yr)
bKash,2+,November 2021[313][314],Mobile financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Babylon Health,2+,August 2019[315],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bought By Many,2+,June 2021[316],Insurance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
FlixMobility,2+,August 2019[317],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Tipalti,2+,October 2020,Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
XtalPi,2+,August 2021[318],Pharmaceuticals,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Hive,2,April 2021[320],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mural,2,July 2021[321],Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
AppsFlyer,2,November 2020[322],Mobilemarketinganalytics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Beijing Weiying Technology,2,April 2016[5],"E-commerce, movie ticket distributor",Private Unicorn,Wikipedia,50,Developing (2-3yr)
BlaBlaCar,2,April 2021[323],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Calm,2,December 2020[324],Digital health,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Clearco,2,April 2021[325],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ClickHouse,2,October 2021[326],Database management,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Clip,2,June 2021[327],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cockroach Labs,2,January 2021[328],Database management,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Divvy Homes,2,August 2021[329],Real estate technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Druva,2,April 2021[330],Cloud computing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Exotec,2,August 2022[125],Robotics,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Firstp2p,2,September 2016[5],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Formlabs,2,May 2021[331],3D printing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Huimin.cn,2,September 2016[160],B2B e-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Iterable,2,June 2021[332],Marketing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Kry,2,April 2021[333][334],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Meicai.cn,2,June 2016[160],"Agriculture, E-commerce",Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mynt,2,November 2021[335],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
OPay,2,August 2021[336],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Oxford Nanopore Technologies,2,November 2012[337],Nanopore sequencing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Sword Health,2,November 2021[338],Health,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Taopiaopiao,2,July 2017[160],"E-commerce, movie ticket distributor",Private Unicorn,Wikipedia,50,Developing (2-3yr)
Trendy International Group,2,February 2012[5][339],"Fashion, Retail",Private Unicorn,Wikipedia,55,Developing (2-3yr)
Unqork,2,October 2020[340],Software development,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zerodha,2,May 2021[341],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Instabase,2,June 2023[342],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zilch,2,November 2021[343],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Akulaku,2,February 2022[344],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ankorstore,1.98,August 2022[125],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Avant,1.98,September 2015[5],Consumer finance,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Intarcia Therapeutics,1.95,September 2016[5],Pharmaceutical,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ThoughtSpot,1.95,August 2019[345][346],Analytics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Yinlong Group,1.95,December 2016[160],Energy,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Sanpower Group,1.93,March 2018[160],Holding company,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ZigBang,1.93,June 2022[347],Property technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bunq,1.9,July 2021[348],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
CoinSwitch Kuber,1.9,October 2021[349],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Dfinity,1.9,August 2018[350],Cloud computing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Prosper Marketplace,1.9,August 2015[5],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Musinsa,1.89,November 2019[291],Fashion,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Apus Group,1.85,August 2017[160],Mobile internet,Private Unicorn,Wikipedia,50,Developing (2-3yr)
BenevolentAI,1.85,August 2015[5],Drug discovery,Private Unicorn,Wikipedia,50,Developing (2-3yr)
MEGAZONE,1.83,Aug 2022[351],Cloud computing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
BillDesk,1.8,November 2018[352],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Landa Digital Printing,1.8,June 2018[353],Printing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Lightricks,1.8,September 2021[354],Software development,Private Unicorn,Wikipedia,50,Developing (2-3yr)
NantOmics,1.8,June 2015[5],Biotechnology,Private Unicorn,Wikipedia,55,Developing (2-3yr)
Orca Security,1.8,October 2021[355],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Quora,1.8,April 2017[356],Social network,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Radiant Nuclear,1.8,December 2025[357],Energy Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zocdoc,1.8,August 2015[5],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
L&P Cosmetic,1.78,March 2018[291],Cosmetics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Creditas,1.75,December 2020,Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Spinny,1.75,November 2021[358],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Trulioo,1.75,June 2021[359],Identity management,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ADVASA,1.7,January 2023[360],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Dragos,1.7,October 2021[361],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Dutchie.com,1.7,March 2021[362],Cannabis,Private Unicorn,Wikipedia,50,Developing (2-3yr)
GVE,1.7,January 2023[360],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Harness,1.7,June 2021[363],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
PAX Labs,1.7,April 2019[364],Cannabis,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Taihe Music Group,1.7,June 2018[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Vestiaire Collective,1.7,September 2021[365],Marketplace,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Voodoo,1.7,August 2022[125],Gaming,Private Unicorn,Wikipedia,50,Developing (2-3yr)
VTEX,1.7,September 2020[366],Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Wave,1.7,September 2021[367],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Workato,1.7,December 2020,Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Alan,1.68,April 2021[368],Health technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
GoStudent,1.67,June 2021[369],Educational technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Incredible Health,1.65,August 2022[370],Healthcare Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
HiBob,1.65,October 2021[371],HR technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Solarisbank,1.65,July 2021[372],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Wayflyer,1.6,Feb 2022[373],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Afiniti,1.6,May 2017[374],Software development,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Aiways,1.6,April 2018[160],Electric vehicles,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Caocao Zhuanche,1.6,January 2018[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cresta,1.6,March 2022[4],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Clari,1.6,March 2021[375],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Clio,1.6,April 2021[376],Legal technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cognite,1.6,May 2021,Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
HomeLight,1.6,September 2021[377],Real estate,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Infinidat,1.6,October 2017,Data storage,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Judo Bank,1.6,December 2020[378],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Nord Security,1.6,April 2022[379],VPN service,Private Unicorn,Wikipedia,50,Developing (2-3yr)
SafetyCulture,1.6,May 2021[380],Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
SmartHR,1.6,May 2021[381],HR technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Unite Us,1.6,March 2021[382],Healthcare,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Vanta,1.6,June 2022[383],Cybersecurity,Private Unicorn,Wikipedia,50,Developing (2-3yr)
CureFit,1.56,November 2021[384],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
HeartFlow,1.5+,February 2018[385],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Airbyte,1.5,December 2021[386],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Aihuishou,1.5,January 2018[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Andela,1.5,September 2021[387],Education,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Culture Amp,1.5,July 2021[388],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
"Devo, Inc.",1.5,October 2021[389],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Gett,1.5,May 2019[390],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ID.me,1.5,March 2021[391],Identity verification service,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ledger,1.5,June 2021[392],Cryptocurrency,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Matillion,1.5,September 2021[393],Data analytics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
MOLOCO,1.5,August 2021[394],Advertising technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Molbio Diagnostics,1.5,February 2023[395],Medical device,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Mu Sigma,1.5,February 2013[396],Management consulting,Private Unicorn,Wikipedia,50,Developing (2-3yr)
NextSilicon,1.5,June 2021[397],Semiconductors,Private Unicorn,Wikipedia,50,Developing (2-3yr)
NotCo,1.5,July 2021[398],Food technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Podium,1.5,August 2019[399],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Remote,1.5,July 2021[400],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Spring Rain Software,1.5,June 2016[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Starling Bank,1.5,March 2021[402],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
5ire,1.5+,July 2022[403],Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Swvl,1.5,July 2021[404],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Tujia.com,1.5,October 2017[405][406],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ZBJ.com,1.5,June 2015[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Ascend Money,1.5,September 2021[407],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Hellobike,1.47,June 2018[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Suning Sports,1.47,July 2018[160],Holding company,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Koudai Gouwu,1.45,October 2014[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
M1 Finance,1.45,July 2021[408],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zeta,1.45,May 2021[409],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Einride,1.44,April 2022[87],Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Deliverect,1.4,January 2022[410],Ordering software for POS,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Away,1.4,May 2019[411],Retail,Private Unicorn,Wikipedia,55,Developing (2-3yr)
OneCard,1.4+,July 2022[412],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Bucketplace,1.4,May 2022[413],Interior design,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cabify,1.4,January 2018[414],Transportation,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Chargebee,1.4,April 2021[415],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Epidemic Sound,1.4,March 2021[416],Music,Private Unicorn,Wikipedia,50,Developing (2-3yr)
FiscalNote,1.4,May 2021[417],Data analytics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Five Star Finance,1.4,March 2021[418],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Gupshup,1.4,April 2021[419],Messaging,Private Unicorn,Wikipedia,50,Developing (2-3yr)
IAD,1.4,Oct 2021[420],Real estate,Private Unicorn,Wikipedia,50,Developing (2-3yr)
NetDocuments,1.4,May 2021[421],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
"Panther Labs, Inc.",1.4,December 2021[422],Computer security,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Pristyn Care,1.4,December 2021[423],Health technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
"QOMPLX, Inc.",1.4,March 2021,Computer security,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Rebel Foods,1.4,October 2021[424],Ghost kitchen,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Stash,1.4,February 2021[425],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Symphony,1.4,June 2019[426][427],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Voyager,1.4,April 2022[428],Financial technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Yotpo,1.4,March 2021[429],Marketing,Private Unicorn,Wikipedia,50,Developing (2-3yr)
RIDI,1.33,August 2021[430],E-commerce,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Zetwerk,1.33,August 2021[431],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
GPClub,1.32,December 2018[291],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
DistroKid,1.3,August 2021[432],Music,Private Unicorn,Wikipedia,50,Developing (2-3yr)
ETCP,1.3,October 2016[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Feedzai,1.3,March 2021[433],Artificial intelligence,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Innovaccer,1.3,February 2021[435],Health care,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Knotel,1.3,August 2019[436],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Konfio,1.3,September 2021[437],Financial services,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Kr Space,1.3,June 2018[160],,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Yugabyte,1.3,October 2021[438],Database management,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Cart.com,1.27,June 2023[439],Commerce and logistics,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Incode,1.25,December 2021[441],Technology,Private Unicorn,Wikipedia,50,Developing (2-3yr)
Applied Intuition,1.25,October 2020[442],Software,Private Unicorn,Wikipedia,50,Developing (2-3yr)
